"","species","genus","year","height_final","density","dbh","AG_biomass_MgC","date","ABG_biomass_MgC","BG_biomass_MgC"
"982","gabonensis","Irvingia","2015",6.82833996633422,0.6606522,54,0.00305322047163795,2015-06-03,0.00369439677068192,0.000641176299043969
"983","gabonensis","Irvingia","2015",8.98591280653388,0.6606522,97.5,0.0130986621939947,2015-06-03,0.0158493812547336,0.00275071906073888
"984","gabonensis","Irvingia","2015",6.52688369097062,0.6606522,49,0.00240299874642581,2015-06-03,0.00290762848317523,0.000504629736749421
"985","gabonensis","Irvingia","2015",7.22627574394054,0.6606522,61,0.0041231554632584,2015-06-03,0.00498901811054267,0.000865862647284265
"986","gabonensis","Irvingia","2015",5.1150290536753,0.6606522,29,0.000659628803246718,2015-06-03,0.000798150851928529,0.000138522048681811
"987","gabonensis","Irvingia","2015",4.45098271327779,0.6606522,21.5,0.000315491990362819,2015-06-03,0.000381745308339011,6.6253317976192e-05
"988","gabonensis","Irvingia","2015",6.7096290299684,0.6606522,52,0.00278202294051342,2015-06-03,0.00336624775802124,0.000584224817507819
"989","gabonensis","Irvingia","2015",5.03229500343726,0.6606522,28,0.000604975330726858,2015-06-03,0.000732020150179498,0.00012704481945264
"990","gabonensis","Irvingia","2015",5.1150290536753,0.6606522,29,0.000659628803246718,2015-06-03,0.000798150851928529,0.000138522048681811
"991","gabonensis","Irvingia","2015",4.49878848674672,0.6606522,22,0.000333884645345585,2015-06-03,0.000404000420868157,7.01157755225727e-05
"992","gabonensis","Irvingia","2015",4.40257802491125,0.6606522,21,0.00029771530501578,2015-06-03,0.000360235519069094,6.25202140533138e-05
"993","gabonensis","Irvingia","2015",5.93948832809188,0.6606522,40,0.00145721799759896,2015-06-03,0.00176323377709475,0.000306015779495783
"994","gabonensis","Irvingia","2015",7.05889535726491,0.6606522,58,0.00364123108423856,2015-06-03,0.00440588961192866,0.000764658527690098
"995","gabonensis","Irvingia","2015",4.7444457854866,0.6606522,24.6666666666667,0.000442651488455423,2015-06-03,0.000535608301031062,9.29568125756388e-05
"996","gabonensis","Irvingia","2015",4.72952183303222,0.6606522,24.5,0.000435316284695424,2015-06-03,0.000526732704481463,9.1416419786039e-05
"997","gabonensis","Irvingia","2015",6.14249125084587,0.6606522,43,0.00174155409297328,2015-06-03,0.00210728045249767,0.000365726359524389
"998","gabonensis","Irvingia","2015",4.93374675531421,0.6606522,26.8333333333333,0.000544730403547944,2015-06-03,0.000659123788293012,0.000114393384745068
"999","gabonensis","Irvingia","2015",6.04197196493164,0.6606522,41.5,0.00159562344813898,2015-06-03,0.00193070437224816,0.000335080924109185
"1000","gabonensis","Irvingia","2015",7.41607570679133,0.6606522,64.5,0.00473095802100868,2015-06-03,0.0057244592054205,0.000993501184411822
"1001","gabonensis","Irvingia","2015",5.31540878195008,0.6606522,31.5,0.000808748126701487,2015-06-03,0.000978585233308799,0.000169837106607312
