plot_code,year,month,day,ingrowth_core_num,is_stock,ingrowth_core_litterfall_g,soil_humidity_pcnt,soil_temperature_c,ol_layer_depth_cm,ml_layer_depth_cm,time_step,time_step_minutes,ol_under_2mm_g,ol_above_2mm_g,ml_under_2mm_g,ml_above_2mm_g,ol_2to3_mm_g,ml_2to3_mm_g,ol_3to4_mm_g,ml_3to4_mm_g,ol_4to5_mm_g,ml_4to5_mm_g,ol_above_5mm_g,ml_above_5mm_g,total_g,quality_code,comments,id
ABC-01,2013,12,10,4,N,NA,NA,NA,20,10,4,10,0,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,NA,NA,ABC-01_2013_12_10_4_N
ABC-01,2013,12,10,5,N,1.93,32.3,8.9,30,NA,1,10,0.082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.082,NA,NA,ABC-01_2013_12_10_5_N
ABC-01,2013,12,10,5,N,NA,NA,NA,30,NA,2,10,0.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046,NA,NA,ABC-01_2013_12_10_5_N
ABC-01,2013,12,10,5,N,NA,NA,NA,30,NA,3,10,0.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.072,NA,NA,ABC-01_2013_12_10_5_N
ABC-01,2013,12,10,5,N,NA,NA,NA,30,NA,4,10,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014,NA,NA,ABC-01_2013_12_10_5_N
ABC-01,2013,12,10,6,N,4.13,31.7,8.9,20,10,1,10,0.008,NA,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012,NA,NA,ABC-01_2013_12_10_6_N
ABC-01,2013,12,10,6,N,NA,NA,NA,20,10,2,10,0.002,NA,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004,NA,NA,ABC-01_2013_12_10_6_N
ABC-01,2013,12,10,6,N,NA,NA,NA,20,10,3,10,0.008,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009,NA,NA,ABC-01_2013_12_10_6_N
ABC-01,2013,12,10,6,N,NA,NA,NA,20,10,4,10,0.002,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,NA,NA,ABC-01_2013_12_10_6_N
ABC-01,2013,12,10,7,N,5.02,32.4,8.9,20,10,1,10,0.018,NA,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022,NA,NA,ABC-01_2013_12_10_7_N
ABC-01,2013,12,10,7,N,NA,NA,NA,20,10,2,10,0.002,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,NA,NA,ABC-01_2013_12_10_7_N
ABC-01,2013,12,10,7,N,NA,NA,NA,20,10,3,10,0.01,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011,NA,NA,ABC-01_2013_12_10_7_N
ABC-01,2013,12,10,7,N,NA,NA,NA,20,10,4,10,0.004,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,NA,NA,ABC-01_2013_12_10_7_N
ABC-01,2013,12,10,8,N,10.01,32.3,8.3,20,10,1,10,0.03,NA,0.162,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.192,NA,NA,ABC-01_2013_12_10_8_N
